tk_pips,ls_pips,gain_rate
0.0,0.0,0.00014325486532613797
0.0,0.05,5.708621541784648e-28
0.0,0.1,1.362521939796998e-28
0.0,0.15000000000000002,1.692143343134654e-23
0.0,0.2,3.140201995288847e-19
0.0,0.25,4.019140554368371e-16
0.0,0.30000000000000004,2.857644568756975e-13
0.0,0.35000000000000003,4.8805497938999317e-11
0.0,0.4,2.508733960319711e-09
0.0,0.45,3.996107782636917e-08
0.0,0.5,1.4130527132941163e-07
0.0,0.55,9.411576571915452e-07
0.0,0.6000000000000001,2.04481410607986e-06
0.0,0.65,6.927482991366692e-06
0.0,0.7000000000000001,1.7706516499036733e-05
0.0,0.75,2.738517697911676e-05
0.0,0.8,4.39475132536652e-05
0.0,0.8500000000000001,6.269634121667133e-05
0.0,0.9,8.52968294559785e-05
0.0,0.9500000000000001,0.00010058724664474054
0.005,0.0,0.00018870683015312383
0.005,0.05,7.707401683362542e-26
0.005,0.1,3.591811304821313e-26
0.005,0.15000000000000002,2.929896067288153e-21
0.005,0.2,2.6856922001197167e-17
0.005,0.25,3.431411060400293e-14
0.005,0.30000000000000004,8.808467374803604e-12
0.005,0.35000000000000003,4.937036787912736e-10
0.005,0.4,4.1256111575058536e-09
0.005,0.45,1.0696278963382003e-07
0.005,0.5,6.182948331707456e-07
0.005,0.55,3.4349884227768646e-06
0.005,0.6000000000000001,4.6806527648384365e-06
0.005,0.65,1.0788662949612376e-05
0.005,0.7000000000000001,1.4834706308508997e-05
0.005,0.75,1.9575225929522474e-05
0.005,0.8,3.314484823274711e-05
0.005,0.8500000000000001,5.872078654813499e-05
0.005,0.9,5.80934450110536e-05
0.005,0.9500000000000001,8.208630452561954e-05
0.01,0.0,0.0002485493762294517
0.01,0.05,6.359029449043907e-24
0.01,0.1,8.123251255770525e-24
0.01,0.15000000000000002,1.0709334653672408e-19
0.01,0.2,1.2595985261053196e-15
0.01,0.25,6.890363101184861e-13
0.01,0.30000000000000004,1.8913229902860552e-10
0.01,0.35000000000000003,6.253384972066286e-09
0.01,0.4,4.88689508620097e-08
0.01,0.45,4.5421825204606526e-07
0.01,0.5,2.665080003615926e-06
0.01,0.55,1.573244073055113e-05
0.01,0.6000000000000001,2.086198124038198e-05
0.01,0.65,5.785034390043537e-05
0.01,0.7000000000000001,7.253891860710827e-05
0.01,0.75,0.0001607630030218677
0.01,0.8,0.00016922958101538307
0.01,0.8500000000000001,0.00024236092533703028
0.01,0.9,0.0002303506294928894
0.01,0.9500000000000001,0.0002706763348052703
0.015,0.0,0.000327329089332538
0.015,0.05,4.676570208047234e-22
0.015,0.1,1.1452112679820543e-21
0.015,0.15000000000000002,1.012599098510291e-17
0.015,0.2,6.29144795334013e-14
0.015,0.25,2.1495059432256022e-11
0.015,0.30000000000000004,3.0641624451254026e-09
0.015,0.35000000000000003,1.1189115831019385e-07
0.015,0.4,9.477069187438723e-07
0.015,0.45,8.175015828800051e-06
0.015,0.5,3.432189272272905e-05
0.015,0.55,0.0001712697691532441
0.015,0.6000000000000001,0.0002844092492718998
0.015,0.65,0.0010941832067185569
0.015,0.7000000000000001,0.0015063510640187724
0.015,0.75,0.0028308958071156594
0.015,0.8,0.0026564545853449135
0.015,0.8500000000000001,0.0026335646594979143
0.015,0.9,0.0025751567843879273
0.015,0.9500000000000001,0.003004125602873659
0.02,0.0,0.0004310259730764671
0.02,0.05,1.529629018153128e-20
0.02,0.1,5.709675770091329e-20
0.02,0.15000000000000002,1.8625712631233492e-16
0.02,0.2,4.567905221791563e-13
0.02,0.25,1.5090659539415213e-10
0.02,0.30000000000000004,7.446412280615171e-09
0.02,0.35000000000000003,1.7569835865028537e-07
0.02,0.4,1.0209820073181635e-06
0.02,0.45,8.56996692578594e-06
0.02,0.5,8.293669215267757e-05
0.02,0.55,0.00035642483793478833
0.02,0.6000000000000001,0.0007749333566759891
0.02,0.65,0.002341568224287171
0.02,0.7000000000000001,0.00412394751332189
0.02,0.75,0.003782844590108673
0.02,0.8,0.003561769904950098
0.02,0.8500000000000001,0.004931222985899789
0.02,0.9,0.0040723473383143804
