unitsRNN,learning_rate,batch_size,maxlen,result
30,0.0001,30,10,4.326185295132312,LSTM
30,0.0001,30,30,1.7664592617703987,LSTM
30,0.0001,30,60,5.0109446517098855,LSTM
30,0.0001,30,90,4.326185295132312,LSTM
30,0.0001,30,120,4.326185295132312,LSTM
